run_number	current	charge	trigger_id	livetime	trigger_counts	trigger_events	elist	Kinematic
1291	20.38	24400.9	DL.bit2	0.981258	124642	122306	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1291_0_5.root	3
1292	20.38	33167.5	DL.bit2	0.980943	168445	165235	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1292_0_5.root	3
1293	20.38	18121.5	DL.bit2	0.980745	92910	91121	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1293_0_5.root	3
1294	20.38	21100.3	DL.bit2	0.981665	107227	105261	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1294_0_5.root	3
1295	20.38	38563.5	DL.bit2	0.990339	101546	100565	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1295_0_5.root	3
1296	20.38	29939.5	DL.bit2	0.987165	107755	106372	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1296_0_5.root	3
1297	20.38	31000.4	DL.bit2	0.987191	111020	109598	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1297_0_5.root	3
1298	20.38	28605	DL.bit2	0.987282	102612	101307	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1298_0_5.root	3
1299	20.38	24357	DL.bit2	0.987513	86971	85885	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1299_0_5.root	3
1300	20.38	25283.2	DL.bit2	0.983718	121235	119261	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1300_0_5.root	3
1301	20.38	18019.2	DL.bit2	0.984206	86424	85059	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1301_0_5.root	3
1312	10.12	4295.89	DL.bit2	0.997616	3356	3348	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1312_0_5.root	3
1313	20.38	14382.8	DL.bit2	0.980154	74122	72651	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1313_0_5.root	3
1319	10.12	113.656	DL.bit2	0.986842	76	75	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1319_0_5.root	3
1319	4.62	27.4503	DL.bit2	1	29	29	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1319_1_5.root	3
1320	10.12	1976.45	DL.bit2	0.99933	1492	1491	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1320_0_5.root	3
1321	10.12	1896.8	DL.bit2	0.999279	1387	1386	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1321_0_5.root	3
1322	20.38	7505.11	DL.bit2	0.980266	39373	38596	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1322_0_5.root	3
1323	20.38	6016.82	DL.bit2	0.98011	29010	28433	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1323_0_5.root	3
1324	10.12	570.398	DL.bit2	0.993631	471	468	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1324_0_5.root	3
1324	7.12	68.0302	DL.bit2	1	46	46	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1324_1_5.root	3
1325	10.12	4483.08	DL.bit2	0.998873	3548	3544	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1325_0_5.root	3
1326	10.12	4139.14	DL.bit2	0.98809	21999	21737	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1326_0_5.root	3
1328	10.12	29944.4	DL.bit2	0.990114	158303	156738	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1328_0_5.root	3
1329	10.12	17052.4	DL.bit2	0.990539	88151	87317	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1329_0_5.root	3
1330	20.88	3650.08	DL.bit2	0.996673	2705	2696	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1330_0_5.root	3
1331	20.38	8041.89	DL.bit2	0.980671	41129	40334	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1331_0_5.root	3
1331	11.12	2278.56	DL.bit2	0.989909	11495	11379	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1331_1_5.root	3
1332	21.12	2204.93	DL.bit2	0.996176	1569	1563	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1332_0_5.root	3
1333	20.38	13856.7	DL.bit2	0.980426	70757	69372	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1333_0_5.root	3
1334	20.38	13253.6	DL.bit2	0.98022	67038	65712	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1334_0_5.root	3
1335	20.38	14580	DL.bit2	0.980966	74077	72667	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1335_0_5.root	3
1336	20.38	15418.6	DL.bit2	0.980842	78400	76898	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1336_0_5.root	3
1337	20.38	13627.1	DL.bit2	0.980749	69400	68064	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1337_0_5.root	3
1338	20.38	17018.1	DL.bit2	0.981666	87216	85617	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1338_0_5.root	3
1339	20.38	2794.61	DL.bit2	0.981753	14139	13881	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1339_0_5.root	3
1340	10.12	2124.11	DL.bit2	0.998801	834	833	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1340_0_5.root	5
1341	10.12	2340.12	DL.bit2	1	946	946	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1341_0_5.root	5
1342	10.12	9173.29	DL.bit2	0.989518	48559	48050	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1342_0_5.root	5
1343	10.12	5908.28	DL.bit2	0.992281	27983	27767	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1343_0_5.root	5_pos
1344	20.38	12019.1	DL.bit2	0.996476	11635	11594	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1344_0_5.root	5
1345	20.38	5863.63	DL.bit2	0	5813	0	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1345_0_5.root	5
1346	20.38	31830.5	DL.bit2	0.99607	35619	35479	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1346_0_5.root	5
1347	22.38	63875.8	DL.bit2	0.994165	100262	99677	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1347_0_5.root	5
1348	22.88	66157.4	DL.bit2	0.991981	146400	145226	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1348_0_5.root	5
1349	10.12	1370.66	DL.bit2	1	525	525	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1349_0_5.root	5
1350	22.88	37595.7	DL.bit2	0.991867	85948	85249	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1350_0_5.root	5
1351	22.88	35781.9	DL.bit2	0.99156	82469	81773	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1351_0_5.root	5
1352	22.88	35127.5	DL.bit2	0.993438	55168	54806	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1352_0_5.root	5
1353	22.88	45704.2	DL.bit2	0.993884	71454	71017	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1353_0_5.root	5
1354	22.88	33345.4	DL.bit2	0.991431	73636	73005	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1354_0_5.root	5
1355	22.88	31521.7	DL.bit2	0.991013	69769	69142	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1355_0_5.root	5
1356	22.88	58093.2	DL.bit2	0.994179	92245	91708	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1356_0_5.root	5
1357	22.88	62073.9	DL.bit2	0.993817	98005	97399	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1357_0_5.root	5
1358	22.88	35914.2	DL.bit2	0.991195	79158	78461	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1358_0_5.root	5
1359	22.88	40251.9	DL.bit2	0.991509	88917	88162	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1359_0_5.root	5
1360	22.88	27163.2	DL.bit2	0.995676	31453	31317	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1360_0_5.root	5
1361	10.12	9434.55	DL.bit2	0.999528	2117	2116	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1361_0_5.root	7
1362	10.12	10800.5	DL.bit2	0.994968	26826	26691	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1362_0_5.root	7
1363	10.12	6670.36	DL.bit2	0.995873	15506	15442	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1363_0_5.root	7_pos
1364	22.88	14646.8	DL.bit2	0.997447	7442	7423	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1364_0_5.root	7
1365	22.88	16127.5	DL.bit2	0	8013	0	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1365_0_5.root	7
1380	10.12	15266.7	DL.bit2	0.999419	3442	3440	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1380_0_5.root	7
1385	10.12	5370.17	DL.bit2	0.998395	1246	1244	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1385_0_5.root	7
1393	20.38	5888.83	DL.bit2	1	656	656	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1393_0_5.root	9
1394	22.38	14065.6	DL.bit2	0.996609	17106	17048	/v/lustre2/expphy/volatile/halla/triton/MARATHON_elist/bcm1394_0_5.root	9_pos
